Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.418609,0.233889,0.237103,1.27784,-0.536371,-0.228896,-0.761798,
-0.418771, 0.234,0.237615,1.27791,-0.536114,-0.229284,-0.7607,
-0.418891,0.233877,0.237308,1.27797,-0.535982,-0.229087,-0.760987,
-0.419054,0.233835,0.237468,1.27793,-0.535777,-0.229417,-0.760932,
-0.419094,0.234167,0.238164,1.27834,-0.535644,-0.229843,-0.760518,
-0.41926,0.234041,0.238172,1.27849,-0.535243,-0.229966,-0.759552,
-0.419257,0.233851,0.237747,1.27879,-0.534812,-0.229957,-0.759021,
-0.41932,0.234015,0.238226,1.27906,-0.534752,-0.230446,-0.759026,
-0.419401,0.233898,0.238111,1.27943,-0.534379,-0.230622,-0.758891,
-0.41951,0.233898,0.238228,1.27968,-0.534295,-0.230609,-0.759748,
-0.419544,0.233938,0.23841,1.28003,-0.53398,-0.230898,-0.759177,
-0.419551,0.233985,0.238735,1.2803,-0.533533,-0.231283,-0.757864,
-0.419597,0.233908,0.23864,1.2808,-0.533478,-0.231371,-0.758263,
-0.419674,0.233978,0.238926,1.28111,-0.533002,-0.231812,-0.757793,
-0.419536,0.234154,0.239269,1.2815,-0.532446,-0.232248,-0.756686,
-0.419596,0.233837,0.239098,1.28179,-0.53205,-0.232617,-0.756785,
-0.419578,0.233937,0.239235,1.2824,-0.531601,-0.232982,-0.756385,
-0.419605,0.233592,0.238872,1.28277,-0.531407,-0.232986,-0.755373,
-0.419601,0.233929,0.23939,1.28336,-0.531213,-0.233496,-0.75641,
-0.41965,0.233599,0.239066,1.2837,-0.530726,-0.233757,-0.754927,
-0.419578,0.233701,0.239345,1.2842,-0.530444,-0.234046,-0.755299,
-0.419586,0.233939,0.239957,1.28464,-0.52978,-0.234783,-0.754663,
-0.419648,0.233916,0.239899,1.28493,-0.529451,-0.234751,-0.754648,
-0.419674,0.233945,0.240084,1.28532,-0.529253,-0.235032,-0.75473,
-0.419543,0.234055,0.240304,1.28626,-0.529246,-0.235376,-0.754742,
-0.419635,0.233881,0.240254,1.28664,-0.52899,-0.235733,-0.754473,
-0.41956,0.234202,0.240778,1.28735,-0.528978,-0.236296,-0.75513,
-0.419556,0.233989,0.240558,1.28771,-0.528525,-0.236377,-0.754427,
-0.419537,0.234274,0.241229,1.28828,-0.528519,-0.236895,-0.753607,
-0.419605,0.233816,0.240728,1.28849,-0.527775,-0.236923,-0.753228,
