Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3
-0.94867,0.103737,0.16975,0.659164,-0.159086,-0.13381,-0.551251
-0.948567,0.103599,0.169527,0.659144,-0.158986,-0.133736,-0.551376
-0.948494,0.103605,0.169635,0.659119,-0.158852,-0.133689,-0.550524
-0.948355,0.103698,0.169725,0.659243,-0.158963,-0.133624,-0.550605
-0.94842,0.103669,0.169784,0.659017,-0.158745,-0.133564,-0.550626
-0.948303,0.103996,0.170452,0.659284,-0.158919,-0.133687,-0.55054
-0.948283,0.103816,0.170103,0.659144,-0.158658,-0.133536,-0.550374
-0.94816,0.10391,0.17028,0.659233,-0.158732,-0.133504,-0.549919
-0.94809,0.104063,0.170335,0.659372,-0.158818,-0.133408,-0.551253
-0.948066,0.103981,0.170198,0.659196,-0.158695,-0.133314,-0.551225
-0.947866,0.104027,0.170534,0.659349,-0.158606,-0.133432,-0.549962
-0.947871,0.104145,0.170656,0.659293,-0.158513,-0.133451,-0.550099
-0.947838,0.104074,0.170517,0.659209,-0.158547,-0.13324,-0.550833
-0.947729,0.104335,0.171209,0.65937,-0.158488,-0.133645,-0.549722
-0.947794,0.104312,0.171317,0.659103,-0.158138,-0.133594,-0.549592
-0.947617,0.104348,0.171242,0.659291,-0.158432,-0.133592,-0.549754
-0.947569,0.10455,0.171413,0.659483,-0.158545,-0.13342,-0.550836
-0.94749,0.104453,0.171194,0.659397,-0.158354,-0.13343,-0.5497
-0.947414,0.10444,0.171365,0.6595,-0.158461,-0.133521,-0.550043
-0.947385,0.10444,0.171518,0.659364,-0.158256,-0.1337,-0.549171
-0.947451,0.104508,0.171723,0.65922,-0.15836,-0.133675,-0.550307
-0.947286,0.10468,0.171857,0.659459,-0.158225,-0.133716,-0.548918
-0.947397,0.104722,0.17222,0.659106,-0.157984,-0.133924,-0.548753
-0.947194,0.104634,0.171966,0.659276,-0.158169,-0.133834,-0.548614
-0.947171,0.104834,0.17214,0.659297,-0.15789,-0.133831,-0.548032
-0.947212,0.104706,0.172132,0.659104,-0.157856,-0.133974,-0.548394
-0.947028,0.104715,0.172123,0.65939,-0.158007,-0.134,-0.548323
-0.946967,0.104703,0.17201,0.659406,-0.158082,-0.133998,-0.548705
-0.947074,0.104783,0.172389,0.659038,-0.157726,-0.134115,-0.548083
-0.946936,0.104887,0.172414,0.659359,-0.157875,-0.134222,-0.547828
-0.947047,0.104931,0.172713,0.658984,-0.157545,-0.134214,-0.5482
-0.946935,0.104914,0.172603,0.65903,-0.157688,-0.134436,-0.547295
-0.946912,0.105069,0.172671,0.659168,-0.157748,-0.134443,-0.548374
-0.946882,0.104893,0.172511,0.65899,-0.157655,-0.134529,-0.547671
-0.946724,0.104916,0.172507,0.659123,-0.15746,-0.134577,-0.546554
-0.946686,0.10495,0.172636,0.658988,-0.157399,-0.134643,-0.546327
-0.946829,0.104992,0.172512,0.658713,-0.15732,-0.134326,-0.54715
-0.946594,0.104956,0.172455,0.659133,-0.157548,-0.134668,-0.546812
-0.946772,0.105046,0.17251,0.658686,-0.157171,-0.134441,-0.54661
-0.946598,0.105096,0.172748,0.658902,-0.157709,-0.134782,-0.546686
-0.946557,0.105265,0.172757,0.659084,-0.157783,-0.134668,-0.54775
-0.946632,0.105094,0.172726,0.658732,-0.157634,-0.134832,-0.546817
-0.946459,0.10507,0.17243,0.659065,-0.157975,-0.134709,-0.546949
-0.946481,0.105138,0.172363,0.658933,-0.157997,-0.134565,-0.547345
-0.946534,0.10508,0.172343,0.658675,-0.157733,-0.134539,-0.546378
-0.946416,0.105228,0.172501,0.659005,-0.158136,-0.134726,-0.547036
