Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
0.00860571,-0.00346978,-0.00246939,-0.000206587,0.0157032,-0.00236968,0.00276605,0.014515,0.00874889,0.00855969,0.0344267,-0.0526329,
0.00169736,-0.0149846,-0.00118263,-0.00305904,0.0192784,-0.0027591,0.00147652,0.0132238,0.00198397,0.00147477,0.028568,-0.0491542,
0.00638147,-0.00879753,0.00364508,0.00374579,0.0151279,-0.00636974,0.00791375,0.0161182,0.00423796,0.00308285,0.0278561,-0.0385928,
0.0204044,0.00768699,-0.00279547,-0.00361579,0.000354252,-0.0151332,0.0114537,0.0116084,-0.00541549,0.000184328,0.0226329,-0.030285,
0.0257375,0.0299621,0.00460728,0.0022213,-0.0144185,-0.0213227,0.014672,0.0193327,0.00199826,0.00372523,0.0161176,-0.0210114,
0.0159417,0.0503015,0.000741964,8.89794e-06,-0.0237172,-0.0162457,0.0117736,0.0154674,-0.00378347,0.0069448,0.0076662,-0.0175328,
0.00679227,0.0394089,0.00653491,4.91581e-05,-0.00339619,-0.0153554,0.0120949,0.0145,-0.00408817,0.00630168,0.0014639,-0.00825919,
0.00183043,0.0330198,0.00460134,0.000410439,0.0140284,-0.00577382,0.00919713,0.0093477,-0.00277928,0.00533723,-0.00120168,0.0061657,
0.00588525,0.0385394,0.00975068,-0.000516956,0.027269,-0.0100369,0.00984099,0.00902476,-0.0027544,-0.00335322,-0.00998892,0.0193031,
0.00897644,0.0607968,0.0126467,0.00241805,0.0379353,-0.00110118,0.00308046,0.00258511,-0.00143812,-0.00141897,-0.018781,0.0224606,
0.0152892,0.0643786,0.0142553,-0.000764727,0.0354032,0.000429096,0.000505424,-0.00224471,-0.00301579,-0.00688879,-0.0195296,0.0278722,
0.0190284,0.064738,0.0155424,0.00345628,0.0315847,0.0138707,-0.00496686,-0.00385505,-0.00394618,-0.00785082,-0.0167419,0.0342501,
0.0172965,0.0612312,0.0113569,-0.00616709,0.0264796,0.0170097,-0.00882924,-0.00707513,-0.000688049,-0.0126756,-0.01074,0.0267849,
0.0133127,0.0413024,0.0139327,0.00352519,0.0284584,0.0156413,-0.00754037,-0.011905,0.00192938,-0.00848531,-0.0082847,-0.00224981,
0.0141597,0.0204047,0.0100702,0.00291448,0.0252872,0.013629,-0.00657329,-0.011262,0.00197432,-0.000431114,-0.00197137,-0.0222697,
0.00277445,0.00948396,0.012647,0.0068101,0.0208293,0.00936312,-0.00657187,-0.00965339,-0.000875258,0.000862958,-0.00306805,-0.0432549,
-0.0028146,-0.00916672,0.00266866,0.00523187,0.0144405,0.000268278,-0.00463866,-0.00611337,0.00497043,0.00408937,0.000337072,-0.0417037,
-0.00518309,-0.0265332,0.00975376,0.00300891,0.015779,-0.0123676,0.000836074,-0.00836857,0.00180445,0.000877671,-0.00592149,-0.0475567,
-0.00272149,-0.0422936,0.013298,0.00432646,0.00520608,-0.0111596,-0.00560089,-0.000965806,0.00765546,0.0137638,-0.00703444,-0.0463264,
-0.00283464,-0.0541946,0.0107259,0.00338955,-0.00890787,-0.00930725,-0.00946214,-0.00483133,-0.000334566,0.0105536,-0.00622124,-0.0460612,
0.0160474,-0.0590168,0.00879804,0.00406149,-0.0185145,-0.00809808,-0.00527465,-0.00515582,-0.00317116,0.0105636,-0.00187219,-0.0454732,
0.0313886,-0.0651307,0.00429509,-0.000418542,-0.0194288,-0.00785396,-0.0075258,-0.0106317,-0.0172735,0.00542337,0.000539661,-0.0423086,
0.0444764,-0.0847701,0.00365579,0.00314907,-0.0348307,-0.0175891,-0.00494757,-0.00484001,-0.0143108,0.00575688,-0.00252707,-0.0246553,
0.0482279,-0.090248,0.00430456,-4.50269e-05,-0.0389651,-0.0121919,0.000528404,-0.0064533,-0.0107022,0.00512533,0.00438083,0.00684317,
0.0397455,-0.0593502,-0.00341694,-0.00484979,-0.031832,-0.00969082,0.00278527,-0.00613526,-0.0115989,-0.00291013,0.0058101,0.0199929,
0.0209604,-0.0239487,-0.00791884,0.00193439,-0.0166509,0.00086022,0.00375472,-0.0016323,-0.0102402,0.0019328,0.00852152,0.0328228,
0.0127986,0.0207858,-0.00887929,-0.00995507,-0.0130604,0.0172079,0.00375874,-0.00614402,-0.00469447,0.00226924,0.0028568,0.0340654,
0.0120403,0.0648736,-0.00951773,-0.00349484,-0.00625113,0.0325915,0.000221809,-0.00614881,0.000209051,0.00453802,0.00523494,0.028228,
0.0087049,0.0722573,-0.0130537,-0.00894749,-0.00877891,0.0341336,0.00441194,-0.00905133,-0.00454406,0.00165637,0.00116852,0.0269009,
-0.00268097,0.0712682,-0.00918495,0.00105205,-0.0058344,0.0331024,0.00924644,-0.00744686,-0.000281213,-0.000580776,0.0028913,0.0339474,
-0.0134253,0.0561113,-0.0194817,-0.0114854,-0.00997335,0.0240248,0.00281347,-0.00648645,-0.000202099,0.000402089,0.0010669,0.0380999,
-0.0244942,0.0306502,-0.011106,-0.00180985,-0.00670836,0.0110863,0.00281987,-0.00777974,-0.00108734,-0.000868083,0.00309995,0.0380706,
-0.036854,0.00776254,-0.0172177,0.000460006,-0.00762934,0.0110279,0.00572428,-0.00778531,0.00157019,0.00236946,0.00158573,0.0364353,
-0.0472855,0.0038674,-0.00369098,0.00530439,-0.00597548,0.0151572,0.00573175,-0.00746893,0.00551685,-0.00501659,0.00167527,0.0254673,
-0.0535355,-0.000995601,-0.00497364,0.00660641,-0.00528814,0.0202547,0.00252037,0.00282773,0.00624539,0.00466076,-0.00242645,0.0161128,
-0.0411168,-0.0158408,-0.00174911,0.00179054,-0.00395756,0.00893576,0.00252895,0.000246877,0.00311188,-0.00143662,-0.00460257,0.0199617,
-0.0322437,-0.0165227,-0.000134259,0.00148088,0.00960619,0.0108189,0.0057575,0.0115098,0.0109256,0.0024466,-0.00292149,0.0286435,
-0.0272383,0.00371975,-0.00173875,-0.00559056,0.00836001,-0.000173115,0.00190388,0.0124708,0.00393107,-0.00139641,-0.00285629,0.0347534,
-0.0251349,0.0117264,0.000198241,-0.00332666,0.00582552,-0.00118246,0.00320186,0.00956893,0.011425,0.00345335,-0.0111678,0.0331404,
-0.0265775,0.0181214,0.00438898,-0.0068587,-0.000250882,0.00199591,0.00256872,0.00312612,0.0140907,0.00411816,-0.00499812,0.0305651,
