Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
-0.0172473,0.0104615,-0.000508798,-0.00841542,-0.000276391,-0.00260277,0.0205708,0.00055443,0.0315378,0.00565378,0.0148065,-0.0484533,
-0.0145864,0.00906039,-0.00435126,-0.00579698,-0.00054888,0.0028274,0.020648,-0.00497344,-0.00189018,0.00137672,0.0132696,-0.0676698,
-0.0183605,0.0115252,-0.00175516,-0.00639893,-0.00275397,0.00117573,0.0204067,0.000767023,-0.0546356,0.00257389,0.0139898,-0.0633818,
-0.0121506,0.00884171,0.000196749,-0.00539217,-0.00174062,0.00531993,0.0172714,0.00103489,-0.0793731,0.00409423,0.00698683,-0.0475011,
-0.0233217,0.00873641,-0.00107106,-0.0105033,-0.0026599,0.00173844,0.0144616,0.000337396,-0.0596839,0.00497189,0.00449472,-0.0316173,
-0.017426,0.00992161,-0.00298306,-0.00531341,0.00189282,0.000411474,0.0177724,0.00350374,-0.0399962,-0.00380751,0.00844516,-0.0266762,
-0.0169993,0.0091779,-0.0036076,-0.00688532,-0.00224791,0.00230487,0.0114285,0.00184154,-0.0190223,-0.00196163,0.00660443,-0.0185122,
0.00661136,0.0129441,-0.00197887,-0.00362916,-0.000594727,0.00194563,0.0105613,-0.000141972,-0.0164008,0.00020738,0.00573336,0.00124559,
0.00125146,0.00705481,-0.00163821,-0.0035935,0.00105741,0.00158735,0.0096976,-0.000837025,0.00102828,0.00141173,0.00325648,0.0329194,
0.0155344,0.00470959,-0.00644892,-0.00710025,-0.00662783,0.000264207,0.00851557,-0.008936,-0.000216994,0.00390501,0.00207132,0.056549,
0.0137246,0.00784007,-0.00160168,-0.00352534,-0.00433394,0.00119563,0.00733707,-0.00222486,0.00465285,0.00575556,0.00797289,0.0856563,
0.0235093,0.00421243,-0.00126191,-0.00284895,0.00246605,0.000518305,0.00519624,0.00158967,-0.00528844,0.0072853,0.00840549,0.0996373,
0.0146259,0.00445072,0.00100924,-0.00539299,-0.00329078,0.000807785,0.00241496,0.000254034,-0.0084708,0.00269926,0.0036911,0.10815,
0.0141178,0.00404771,0.00392401,0.000432452,0.00157538,-0.00244312,0.00736367,0.00954346,-0.0187377,0.00101179,0.0115366,0.0944543,
0.0158679,-0.000538015,-0.00732692,-0.00275746,-0.00193004,0.00106773,0.000403846,0.00917565,-0.0331918,-0.00614763,0.0110157,0.0672418,
0.0227739,-0.00125794,0.00106038,0.00145635,-0.000607429,0.000394316,0.00729079,0.0133161,-0.0383114,-0.00944271,0.0133964,0.0422878,
